gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1205.555629865978,1318.4113957692618,1371.1923981931036,1382.460646192195,1342.9510183176758,1334.3593928381133,LO,1000.0,2015-07-13,496.4391
1209.3406820803352,1322.8569044509684,1375.8922025540053,1387.2462700127153,1347.6132948161278,1338.3861618601711,LO,1000.0,2015-07-14,496.4391
1210.0070014790772,1323.6133082989143,1376.701216502254,1388.0748681613215,1348.416530615818,1339.2446337445363,LO,1000.0,2015-07-15,496.4392
1215.902537867764,1330.0247893098967,1383.0005985992334,1393.1836251796092,1352.851387199264,1343.0902999167288,LO,1000.0,2015-07-16,496.4393
1219.426993254735,1332.975426321462,1385.7803364220097,1395.5929364244241,1355.0971758314229,1345.2185812733824,LO,1000.0,2015-07-17,496.429
1217.3840304895102,1330.7822026032916,1383.8300923901793,1394.3960789389907,1354.312396614602,1344.6223316530265,LO,1000.0,2015-07-20,496.4247
1216.7041726200323,1330.3054768040054,1383.485451754222,1394.3471872972173,1355.0052423981265,1345.9109892217577,LO,1000.0,2015-07-21,496.4249
1212.7984410041781,1325.9696102245982,1379.0451787321945,1391.1114709961855,1353.2083768866373,1345.108358510292,LO,1000.0,2015-07-22,496.4252
1207.803883444951,1320.5089903857588,1373.5550860765013,1386.5005858720137,1349.7073714889161,1342.614060021977,LO,1000.0,2015-07-23,496.4302
1202.2356969683801,1314.4028820067329,1367.488895367777,1380.624767013551,1345.0778130875556,1339.1202379159758,LO,1000.0,2015-07-24,496.4211
1198.2521963298555,1313.9662446712293,1367.850000888946,1381.363063169706,1345.94859309305,1339.7625138727199,LO,1000.0,2015-07-27,496.4266
1203.2825703697733,1318.2480173942195,1372.1307945750546,1385.0477872347433,1349.1650212080576,1342.4020759697057,LO,1000.0,2015-07-28,496.4136
1202.0069886508772,1316.9002273034139,1370.5104424709925,1382.7382237979393,1347.6242671342407,1341.4974839250754,LO,1000.0,2015-07-29,496.4141
1198.1202454367854,1312.7725673775385,1366.442057911894,1379.912445646082,1345.6162998958666,1339.8813666362546,LO,1000.0,2015-07-30,496.4103
1202.3832410813554,1317.4461582134911,1371.3013113372533,1383.6299560806247,1348.6612100206582,1342.7183658723109,LO,1000.0,2015-07-31,496.4151
1203.1283380592843,1318.7332091639532,1373.472834610468,1385.4486402658763,1350.4583076468869,1344.5107949137246,LO,1000.0,2015-08-03,496.4118
1203.3916663815867,1319.1444508025065,1374.0748837945473,1382.7947784233218,1346.871895611188,1340.3848224410378,LO,1000.0,2015-08-04,496.4128
1202.8037271004662,1318.369695888795,1373.291065100594,1381.8502732419088,1345.7426329219315,1339.1370938961506,LO,1000.0,2015-08-05,496.4138
