gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1486.8824232798136,1540.7869908410578,1556.6756505023188,1625.2357145005783,1670.8758869815085,1666.5386077808662,LS,0.1,2020-10-27,527.4579
1493.899094578174,1542.9607449262978,1558.664671615955,1627.125310615756,1671.9684923534487,1664.7480950436589,LS,0.1,2020-10-28,527.4592
1498.5629265950147,1543.544998423157,1559.0138858175524,1627.2293102093158,1671.6735858291133,1663.8654412570422,LS,0.1,2020-10-29,527.4596
1493.9657537854173,1538.2470362038368,1553.580376169886,1621.419257428888,1665.297039050182,1657.704714147863,LS,0.1,2020-10-30,527.4675
1489.5999737672778,1537.710460483005,1553.2987179646095,1621.3731251006375,1665.718089938547,1659.1677726641644,LS,0.1,2020-11-02,527.4701
1482.602290290478,1534.6768361224276,1550.5564695508904,1618.7710199167836,1663.5780863456596,1658.8538577883885,LS,0.1,2020-11-03,527.4776
1464.90444089457,1521.3067200006626,1537.4921209400675,1605.6972321129015,1651.412178086376,1651.0129980056793,LS,0.1,2020-11-04,527.4776
1461.661176572309,1517.2840778974964,1533.8811143921578,1602.2116070897991,1647.6622220595252,1649.1772146765518,LS,0.1,2020-11-05,527.485
1465.8073374493858,1520.8322371462718,1538.1628750766738,1607.137600779446,1652.3193133321217,1652.851987912324,LS,0.1,2020-11-06,527.4862
1418.4717160936648,1477.242288389644,1488.616073201343,1554.701215017715,1601.885243492004,1612.5326977098453,LS,0.1,2020-11-09,527.4839
1423.3494575854168,1482.3207073496492,1493.7289363701625,1561.5350571778906,1609.1252078412447,1619.4107090685054,LS,0.1,2020-11-10,527.4851
1426.1230782227606,1485.3116706767921,1496.6748216316741,1564.7043162939547,1612.4429673253455,1622.8867408979838,LS,0.1,2020-11-11,527.4869
1436.6329056214538,1496.2473098030512,1508.2089462998936,1578.729601805188,1627.0299807460024,1637.0175420010478,LS,0.1,2020-11-12,527.4887
1439.3103637069842,1499.0326451935487,1511.3180177423847,1583.2910073066744,1631.7812080358615,1641.4367434755654,LS,0.1,2020-11-13,527.4889
1440.5977049229343,1500.3696694394675,1511.7050806009588,1582.298751016313,1630.9312155266791,1641.3146871904041,LS,0.1,2020-11-16,527.4989
1442.1985976371323,1502.0374899102535,1513.630716642177,1584.5400343376405,1633.2032001409195,1643.4758985709582,LS,0.1,2020-11-17,527.4991
1439.3982377471268,1498.9734909699685,1509.7224399733589,1578.913459346019,1627.5078209377496,1638.401669260396,LS,0.1,2020-11-18,527.5074
1441.1310523044253,1500.7990638099134,1512.4953262988336,1582.2992206041345,1630.8249435786458,1641.3818085390299,LS,0.1,2020-11-19,527.5236
1442.8346279697334,1502.576048539175,1513.8603204040096,1583.8358168090408,1632.5144124571068,1643.1889616913536,LS,0.1,2020-11-20,527.5225
1438.5471381599702,1497.7850676419205,1508.3128169597728,1576.1920077161642,1624.7002244002288,1636.1429695717916,LS,0.1,2020-11-23,527.5223
1436.9173523000306,1496.1231029224396,1505.7626760358348,1572.2904558259763,1620.582268551536,1632.3301414548296,LS,0.1,2020-11-24,527.5148
1438.3580083930117,1497.5799379281702,1507.292094040981,1574.065127160873,1622.415021318156,1634.1108817253387,LS,0.1,2020-11-25,527.5131
1440.0427034831032,1499.329576582339,1509.2618044192977,1576.0502895583209,1624.5035011742013,1636.2354672477834,LS,0.1,2020-11-26,527.51415
1440.3131608502406,1499.6204030945526,1509.1594504092016,1574.9530604366082,1623.3660225144688,1635.3709922041658,LS,0.1,2020-11-27,527.5152
