Time / Name,Hedge Funds Global,MSCI World,MSCI Emerging Markets,European Public Real Estate,S&P Crude Oil Index,Gold,Barclays US Treasury Bond Index,S&P Listed Private Equity Index
1980-09-23 00.00.00,,8.7252378,,,,39.8231,,
1980-09-24 00.00.00,,8.680721,,,,39.5109,,
1980-09-25 00.00.00,,8.6356769,,,,38.8019,,
1980-09-26 00.00.00,,8.5640291,,,,38.9413,,
1980-09-29 00.00.00,,8.4791256,,,,38.0312,,
1980-09-30 00.00.00,,8.5600274,,,,37.2813,1.5407,
1980-10-01 00.00.00,,8.6580501,,,,38.0488,,
1980-10-02 00.00.00,,8.71962,,,,37.2121,,
1980-10-03 00.00.00,,8.7659897,,,,36.8856,,
1980-10-06 00.00.00,,8.8298253,,,,37.5105,,
1980-10-07 00.00.00,,8.7965064,,,,37.7458,,
1980-10-08 00.00.00,,8.7866422,,,,37.6277,,
1980-10-09 00.00.00,,8.7773922,,,,38.3778,,
1980-10-10 00.00.00,,8.7497716,,,,38.0588,,
1980-10-13 00.00.00,,8.8414126,,,,37.7533,,
1980-10-14 00.00.00,,8.9237963,,,,37.3524,,
1980-10-15 00.00.00,,9.0424897,,,,38.0866,,
1980-10-16 00.00.00,,9.0219882,,,,37.9529,,
1980-10-17 00.00.00,,9.04824,,,,37.9771,,
1980-10-20 00.00.00,,9.173686,,,,37.5147,,
1980-10-21 00.00.00,,9.1539385,,,,37.3426,,
1980-10-22 00.00.00,,9.1595448,,,,37.7784,,
1980-10-23 00.00.00,,9.0528246,,,,36.2902,,
1980-10-24 00.00.00,,9.0828361,,,,36.3405,,
1980-10-27 00.00.00,,9.0458784,,,,36.7821,,
1980-10-28 00.00.00,,9.1276304,,,,36.7426,,
1980-10-29 00.00.00,,9.1507879,,,,37.4261,,
1980-10-30 00.00.00,,9.1679096,,,,37.5734,,
1980-10-31 00.00.00,,9.198205,,,,36.828,1.5224,
1980-11-03 00.00.00,,9.3422758,,,,37.8023,,
1980-11-04 00.00.00,,9.3558504,,,,38.1269,,
1980-11-05 00.00.00,,9.5211,,,,38.8592,,
1980-11-06 00.00.00,,9.40905,,,,37.7557,,
1980-11-07 00.00.00,,9.3551281,,,,35.7093,,
1980-11-10 00.00.00,,9.1472665,,,,35.8619,,
1980-11-11 00.00.00,,9.277833,,,,35.0422,,
1980-11-12 00.00.00,,9.3696372,,,,36.2531,,
1980-11-13 00.00.00,,9.4551187,,,,36.247,,
1980-11-14 00.00.00,,9.481759,,,,35.8006,,
1980-11-17 00.00.00,,9.626013,,,,36.2829,,
1980-11-18 00.00.00,,9.6276576,,,,36.4096,,
1980-11-19 00.00.00,,9.5956416,,,,36.8782,,
1980-11-20 00.00.00,,9.671412,,,,37.0103,,
1980-11-21 00.00.00,,9.6857646,,,,37.5201,,
1980-11-24 00.00.00,,9.5693185,,,,37.147,,
1980-11-25 00.00.00,,9.539924,,,,36.1739,,
1980-11-26 00.00.00,,9.6351528,,,,36.7632,,
1980-11-27 00.00.00,,9.6215805,,,,36.7042,,
1980-11-28 00.00.00,,9.6575029,,,,36.6675,1.5202,
1980-12-01 00.00.00,,9.5569187,,,,37.792,,
1980-12-02 00.00.00,,9.5545326,,,,37.3974,,
1980-12-03 00.00.00,,9.519908,,,,37.3841,,
1980-12-04 00.00.00,,9.5326547,,,,37.6595,,
1980-12-05 00.00.00,,9.460277,,,,37.0509,,
1980-12-08 00.00.00,,9.3479835,,,,37.0659,,
1980-12-09 00.00.00,,9.370578,,,,36.6024,,
1980-12-10 00.00.00,,9.3837476,,,,35.5622,,
1980-12-11 00.00.00,,9.30399,,,,34.4844,,
1980-12-12 00.00.00,,9.3554915,,,,34.6232,,
1980-12-15 00.00.00,,9.302706,,,,35.0874,,
1980-12-16 00.00.00,,9.4822721,,,,34.6754,,
1980-12-17 00.00.00,,9.4201885,,,,35.0192,,
1980-12-18 00.00.00,,9.454725,,,,34.9261,,
1980-12-19 00.00.00,,9.4861728,,,,34.983,,
1980-12-22 00.00.00,,9.5399313,,,,35.9675,,
1980-12-23 00.00.00,,9.4642,,,,36.0897,,
1980-12-24 00.00.00,,9.402144,,,,,,
1980-12-25 00.00.00,,9.402144,,,,,,
1980-12-26 00.00.00,,9.4351548,,,,,,
1980-12-29 00.00.00,,9.516724,,,,35.6547,,
1980-12-30 00.00.00,,9.5325073,,,,35.2995,,
1980-12-31 00.00.00,,9.569723,,,,,1.5667,
1981-01-01 00.00.00,,9.569723,,,,,,
1981-01-02 00.00.00,,9.6914848,,,,,,
1981-01-05 00.00.00,,9.6752868,,,,35.7425,,
1981-01-06 00.00.00,,9.7003788,,,,35.6973,,
1981-01-07 00.00.00,,9.6221572,,,,35.0561,,
1981-01-08 00.00.00,,9.5872195,,,,34.7321,,
1981-01-09 00.00.00,,9.6200694,,,,35.0463,,
1981-01-12 00.00.00,,9.664508,,,,34.3241,,
1981-01-13 00.00.00,,9.664725,,,,34.6091,,
1981-01-14 00.00.00,,9.6355905,,,,34.0717,,
1981-01-15 00.00.00,,9.7336944,,,,35.1587,,
1981-01-16 00.00.00,,9.8014894,,,,34.6151,,
1981-01-19 00.00.00,,9.812075,,,,34.9968,,
1981-01-20 00.00.00,,9.6978848,,,,34.6529,,
1981-01-21 00.00.00,,9.662367,,,,35.4459,,
1981-01-22 00.00.00,,9.7017418,,,,35.0329,,
1981-01-23 00.00.00,,9.713613,,,,34.5487,,
1981-01-26 00.00.00,,9.7853788,,,,33.3801,,
1981-01-27 00.00.00,,9.952938,,,,33.4574,,
1981-01-28 00.00.00,,9.941269,,,,33.5564,,
1981-01-29 00.00.00,,9.988467,,,,31.8716,,
1981-01-30 00.00.00,,10.105188,,,,33.2011,1.5679,
1981-02-02 00.00.00,,9.97234,,,,32.1762,,
1981-02-03 00.00.00,,10.0700151,,,,32.0098,,
1981-02-04 00.00.00,,9.9765675,,,,32.7366,,
1981-02-05 00.00.00,,10.2044435,,,,32.8761,,
1981-02-06 00.00.00,,10.1866908,,,,32.9229,,
1981-02-09 00.00.00,,10.1213437,,,,33.6328,,
1981-02-10 00.00.00,,10.1939344,,,,34.3078,,
1981-02-11 00.00.00,,10.1339228,,,,33.1036,,
1981-02-12 00.00.00,,10.075116,,,,32.3933,,
1981-02-13 00.00.00,,10.2826675,,,,33.3483,,
1981-02-16 00.00.00,,10.162573,,,,33.2635,,
1981-02-17 00.00.00,,10.1760175,,,,33.8131,,
1981-02-18 00.00.00,,10.2148517,,,,33.8729,,
1981-02-19 00.00.00,,9.9660332,,,,33.1466,,
1981-02-20 00.00.00,,9.846628,,,,33.1964,,
1981-02-23 00.00.00,,9.9311162,,,,32.7856,,
1981-02-24 00.00.00,,9.9498345,,,,32.9716,,
1981-02-25 00.00.00,,10.084677,,,,32.983,,
1981-02-26 00.00.00,,10.1740125,,,,32.595,,
1981-02-27 00.00.00,,10.252305,,,,32.5185,1.548,
1981-03-02 00.00.00,,10.3898886,,,,31.3468,,
1981-03-03 00.00.00,,10.335424,,,,31.9526,,
1981-03-04 00.00.00,,10.277848,,,,31.0954,,
1981-03-05 00.00.00,,10.272864,,,,31.0128,,
1981-03-06 00.00.00,,10.2041,,,,31.289,,
1981-03-09 00.00.00,,10.207116,,,,31.5851,,
1981-03-10 00.00.00,,10.1525685,,,,32.2438,,
1981-03-11 00.00.00,,10.111388,,,,31.5278,,
1981-03-12 00.00.00,,10.320135,,,,31.787,,
1981-03-13 00.00.00,,10.2885682,,,,32.6811,,
1981-03-16 00.00.00,,10.318782,,,,32.8711,,
1981-03-17 00.00.00,,10.314928,,,,32.3819,,
1981-03-18 00.00.00,,10.234246,,,,32.7382,,
1981-03-19 00.00.00,,10.1930598,,,,32.8746,,
1981-03-20 00.00.00,,10.2706846,,,,33.5655,,
1981-03-23 00.00.00,,10.4630033,,,,34.5635,,
1981-03-24 00.00.00,,10.426425,,,,35.1646,,
1981-03-25 00.00.00,,10.5492978,,,,34.7107,,
1981-03-26 00.00.00,,10.625328,,,,35.8228,,
1981-03-27 00.00.00,,10.5711,,,,35.9885,,
1981-03-30 00.00.00,,10.424631,,,,34.8016,,
1981-03-31 00.00.00,,10.57088,,,,34.113,1.5868,
1981-04-01 00.00.00,,10.602592,,,,34.0434,,
1981-04-02 00.00.00,,10.64254,,,,34.4688,,
1981-04-03 00.00.00,,10.6382544,,,,34.9573,,
1981-04-06 00.00.00,,10.7060515,,,,36.2149,,
1981-04-07 00.00.00,,10.512316,,,,34.3519,,
1981-04-08 00.00.00,,10.644858,,,,34.0949,,
1981-04-09 00.00.00,,10.743005,,,,33.9324,,
1981-04-10 00.00.00,,10.7624385,,,,33.3853,,
1981-04-13 00.00.00,,10.726496,,,,32.3097,,
1981-04-14 00.00.00,,10.6970913,,,,32.9068,,
1981-04-15 00.00.00,,10.829868,,,,32.7184,,
1981-04-16 00.00.00,,10.8528255,,,,33.2201,,
1981-04-17 00.00.00,,10.844944,,,,,,
1981-04-20 00.00.00,,10.964788,,,,,,
1981-04-21 00.00.00,,10.8777484,,,,33.0399,,
1981-04-22 00.00.00,,10.860168,,,,34.1682,,
1981-04-23 00.00.00,,10.9035175,,,,33.3523,,
1981-04-24 00.00.00,,11.0305785,,,,33.9598,,
1981-04-27 00.00.00,,11.061544,,,,33.1435,,
1981-04-28 00.00.00,,11.0395845,,,,33.2856,,
1981-04-29 00.00.00,,11.0454069,,,,33.2309,,
1981-04-30 00.00.00,,11.0640002,,,,33.626,1.5495,
1981-05-01 00.00.00,,11.04216,,,,33.8813,,
1981-05-04 00.00.00,,11.0829875,,,,,,
1981-05-05 00.00.00,,11.108412,,,,34.0042,,
1981-05-06 00.00.00,,11.0627854,,,,34.2316,,
1981-05-07 00.00.00,,11.1712876,,,,34.2165,,
1981-05-08 00.00.00,,11.1139978,,,,34.5247,,
1981-05-11 00.00.00,,11.1844688,,,,35.4344,,
1981-05-12 00.00.00,,11.2197084,,,,34.9061,,
1981-05-13 00.00.00,,11.173337,,,,34.9144,,
1981-05-14 00.00.00,,11.2546476,,,,34.6034,,
1981-05-15 00.00.00,,11.3031459,,,,35.148,,
1981-05-18 00.00.00,,11.3245,,,,34.9269,,
1981-05-19 00.00.00,,11.25635,,,,34.9088,,
1981-05-20 00.00.00,,11.1754192,,,,34.6188,,
1981-05-21 00.00.00,,11.3242382,,,,34.5895,,
1981-05-22 00.00.00,,11.2573575,,,,34.3571,,
1981-05-25 00.00.00,,11.264625,,,,,,
1981-05-26 00.00.00,,11.4243528,,,,34.2224,,
1981-05-27 00.00.00,,11.514198,,,,34.4835,,
1981-05-28 00.00.00,,11.372898,,,,35.0149,,
1981-05-29 00.00.00,,11.386596,,,,35.1386,1.5943,
1981-06-01 00.00.00,,11.44572,,,,35.4561,,
1981-06-02 00.00.00,,11.428284,,,,35.1708,,
1981-06-03 00.00.00,,11.4792576,,,,35.4533,,
1981-06-04 00.00.00,,11.62572,,,,35.15,,
1981-06-05 00.00.00,,11.6380045,,,,35.029,,
1981-06-08 00.00.00,,11.5664255,,,,35.9623,,
1981-06-09 00.00.00,,11.4873775,,,,34.7908,,
1981-06-10 00.00.00,,11.470263,,,,34.6844,,
1981-06-11 00.00.00,,11.7087,,,,35.0694,,
1981-06-12 00.00.00,,11.6966925,,,,35.577,,
1981-06-15 00.00.00,,11.608212,,,,34.8623,,
1981-06-16 00.00.00,,11.538426,,,,33.9387,,
1981-06-17 00.00.00,,11.6347203,,,,34.0841,,
1981-06-18 00.00.00,,11.5478202,,,,34.0165,,
1981-06-19 00.00.00,,11.5762772,,,,34.174,,
1981-06-22 00.00.00,,11.560596,,,,34.3959,,
1981-06-23 00.00.00,,11.5830254,,,,34.5513,,
1981-06-24 00.00.00,,11.6233132,,,,34.4074,,
1981-06-25 00.00.00,,11.652336,,,,33.454,,
1981-06-26 00.00.00,,11.5985125,,,,33.1279,,
1981-06-29 00.00.00,,11.600732,,,,32.0705,,
1981-06-30 00.00.00,,11.6143683,,,,32.0075,1.5966,
1981-07-01 00.00.00,,11.5971937,,,,31.9349,,
1981-07-02 00.00.00,,11.5101,,,,31.3362,,
1981-07-03 00.00.00,,11.5435425,,,,31.3605,,
1981-07-06 00.00.00,,11.5858313,,,,31.0383,,
1981-07-07 00.00.00,,11.5505845,,,,31.0109,,
1981-07-08 00.00.00,,11.670725,,,,30.8256,,
1981-07-09 00.00.00,,11.65267,,,,31.3503,,
1981-07-10 00.00.00,,11.6386724,,,,31.8789,,
1981-07-13 00.00.00,,11.609697,,,,31.3591,,
1981-07-14 00.00.00,,11.642293,,,,30.8526,,
1981-07-15 00.00.00,,11.4962211,,,,31.0795,,
1981-07-16 00.00.00,,11.5408822,,,,31.5674,,
1981-07-17 00.00.00,,11.601225,,,,31.4674,,
1981-07-20 00.00.00,,11.553795,,,,31.5563,,
1981-07-21 00.00.00,,11.573163,,,,31.3331,,
1981-07-22 00.00.00,,11.3887761,,,,31.4571,,
1981-07-23 00.00.00,,11.4456652,,,,31.2235,,
1981-07-24 00.00.00,,11.4680524,,,,31.1819,,
1981-07-27 00.00.00,,11.57097,,,,31.1468,,
1981-07-28 00.00.00,,11.531226,,,,30.775,,
1981-07-29 00.00.00,,11.60336,,,,,,
1981-07-30 00.00.00,,11.653215,,,,31.1462,,
1981-07-31 00.00.00,,11.7692968,,,,31.5381,1.5711,
1981-08-03 00.00.00,,11.933922,,,,31.1959,,
1981-08-04 00.00.00,,11.9245488,,,,31.0535,,
1981-08-05 00.00.00,,11.9951104,,,,31.0153,,
1981-08-06 00.00.00,,12.097512,,,,31.2162,,
1981-08-07 00.00.00,,12.1913212,,,,31.7303,,
1981-08-10 00.00.00,,12.315072,,,,31.8347,,
1981-08-11 00.00.00,,12.3748216,,,,32.3046,,
1981-08-12 00.00.00,,12.140556,,,,32.8155,,
1981-08-13 00.00.00,,12.3175005,,,,32.3153,,
1981-08-14 00.00.00,,12.289444,,,,32.8748,,
1981-08-17 00.00.00,,12.045213,,,,32.2822,,
1981-08-18 00.00.00,,12.06184,,,,32.928,,
1981-08-19 00.00.00,,12.0927408,,,,33.8986,,
1981-08-20 00.00.00,,11.970524,,,,33.3118,,
1981-08-21 00.00.00,,11.755044,,,,32.9212,,
1981-08-24 00.00.00,,11.6869005,,,,32.6311,,
1981-08-25 00.00.00,,11.676096,,,,32.0834,,
1981-08-26 00.00.00,,11.5129425,,,,32.0643,,
1981-08-27 00.00.00,,11.4733425,,,,31.9415,,
1981-08-28 00.00.00,,11.3900745,,,,32.6506,,
1981-08-31 00.00.00,,11.332612,,,,,1.5541,
1981-09-01 00.00.00,,11.3275312,,,,32.4028,,
1981-09-02 00.00.00,,11.2445875,,,,32.7875,,
1981-09-03 00.00.00,,11.0946293,,,,33.1631,,
1981-09-04 00.00.00,,10.982662,,,,33.3141,,
1981-09-07 00.00.00,,10.92657,,,,33.0867,,
1981-09-08 00.00.00,,10.8241965,,,,33.386,,
1981-09-09 00.00.00,,10.7734913,,,,33.1384,,
1981-09-10 00.00.00,,10.760905,,,,33.9189,,
1981-09-11 00.00.00,,10.854495,,,,33.7532,,
1981-09-14 00.00.00,,10.684045,,,,33.6181,,
1981-09-15 00.00.00,,10.4900659,,,,33.4111,,
1981-09-16 00.00.00,,10.400208,,,,32.6872,,
1981-09-17 00.00.00,,10.247188,,,,33.0021,,
1981-09-18 00.00.00,,10.114114,,,,32.0276,,
1981-09-21 00.00.00,,9.995446,,,,32.6536,,
1981-09-22 00.00.00,,10.1191295,,,,33.1023,,
1981-09-23 00.00.00,,10.0603415,,,,32.8908,,
1981-09-24 00.00.00,,9.9952034,,,,32.4602,,
1981-09-25 00.00.00,,9.89953,,,,32.8865,,
1981-09-28 00.00.00,,9.8254065,,,,30.9592,,
1981-09-29 00.00.00,,9.943752,,,,31.4314,,
1981-09-30 00.00.00,,9.9701033,,,,31.3095,1.5622,
1981-10-01 00.00.00,,9.997314,,,,31.9526,,
1981-10-02 00.00.00,,9.973709,,,,31.2983,,
1981-10-05 00.00.00,,10.0653203,,,,31.6266,,
1981-10-06 00.00.00,,10.191588,,,,32.1618,,
